Rank,Lever,Annual Saving (KCHF),Impl Cost (KCHF),ROI,Payback (years),New Fill Rate (avg %),Verdict
1,Review cycle halved,4.106572389331549,20.0,0.20532861946657746,4.870241676965914,99.9084929857449,Marginal
2,Lead-time reduction (30%),5.407087106865398,50.0,0.10814174213730796,9.247123083427827,99.9180806428973,Marginal
3,Combined (forecast + LT),6.6164930366196995,240.0,0.027568720985915413,36.272992153349804,99.92935634330263,Marginal
4,Forecast improvement (15%),4.518792242349144,200.0,0.022593961211745717,44.259613913125555,99.91379767326161,Marginal
